Organism Source,"Strain (Genus, species)",Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
ATCC 14025,Enterococcus avium,N/A,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=14025,https://www.atcc.org/products/14025
ATCC 14025,Enterococcus avium,N/A,ATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=14025,https://www.atcc.org/products/14025
ATCC 8750,Alcaligenes faecalis,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=8750,https://www.atcc.org/products/8750
ATCC 8750,Alcaligenes faecalis,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=8750,https://www.atcc.org/products/8750
ATCC 6939,Rhodococcus equi,Lung abscess of foal,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=6939,https://www.atcc.org/products/6939
ATCC 6939,Rhodococcus equi,Lung abscess of foal,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=6939,https://www.atcc.org/products/6939
ATCC 13032,Corynebacterium glutamicum,Sewage,ATCC Medium 3: Nutrient agar or nutrient brothATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13032,https://www.atcc.org/products/13032
ATCC 13032,Corynebacterium glutamicum,Sewage,ATCC Medium 3: Nutrient agar or nutrient brothATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13032,https://www.atcc.org/products/13032
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 13883,Kleisiella pneuminoa,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13883,https://www.atcc.org/products/13883
ATCC 13883,Kleisiella pneuminoa,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=13883,https://www.atcc.org/products/13883
ATCC 19434,Enteroccus faecium,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19434,https://www.atcc.org/products/19434
ATCC 19434,Enteroccus faecium,N/A,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19434,https://www.atcc.org/products/19434
ATCC 13047,Enterobacter Spp,Spinal fluid,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13047,https://www.atcc.org/products/13047
ATCC 13047,Enterobacter Spp,Spinal fluid,ATCC Medium 3: Nutrient agar or nutrient broth,30°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13047,https://www.atcc.org/products/13047
ATCC 23330,Kingella kingae,Nose,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=23330,https://www.atcc.org/products/23330
